country_name,country_id,year,iso3,region,v2excrptps,v2exthftps,v2cltrnslw,v2clrspct,v2stcritrecadm,risk_v2excrptps,risk_v2exthftps,risk_v2cltrnslw,risk_v2clrspct,risk_v2stcritrecadm,corruption_score,risk_level
Guinea,63,2025,GIN,4,-1.47,-2.387,-1.154,-1.807,-1.117,72.82760765,86.24420402,67.64705882,76.86290109,74.44551591,74.93462768,High
Cameroon,108,2025,CMR,4,-1.893,-2.783,0.233,-1.701,-1.276,79.40307788,92.36476043,47.45195108,75.45743835,77.512054,73.78977222,High
Madagascar,125,2025,MDG,4,-2.156,-1.428,-1.154,-1.621,-0.551,83.49137261,71.42194745,67.64705882,74.39671175,63.52941176,72.70077174,High
Mauritania,65,2025,MRT,4,-2.108,-1.945,-1.124,-0.918,-0.708,82.74521996,79.41267388,67.21025044,65.07557677,66.55737705,72.36684692,High
Sudan,33,2025,SDN,4,-0.794,-1.439,-0.976,-1.602,-1.78,62.31929115,71.59196291,65.05532906,74.14478918,87.23240116,71.6051211,High
Mozambique,57,2025,MOZ,4,-2.184,-1.53,-0.653,-1.206,-0.594,83.92662832,72.9984544,60.35235877,68.89419252,64.3587271,70.65248092,High
Azerbaijan,106,2025,AZE,1,-1.379,-0.702,-1.447,-0.936,-1.352,71.41302658,60.20092736,71.91322073,65.31424025,78.97782064,70.12445207,High
El Salvador,22,2025,SLV,2,-0.283,-0.724,-1.994,-1.329,-1.711,54.3758744,60.54095827,79.87769365,70.52505967,85.90163934,69.93599087,High
Türkiye,99,2025,TUR,3,-0.841,-1.055,-1.801,-1.693,-0.815,63.04989896,65.6568779,77.0675597,75.35136569,68.62102218,69.81899594,High
Egypt,13,2025,EGY,3,-1.781,-0.974,-1.278,-0.992,-0.373,77.66205503,64.4049459,69.45253349,66.05674887,60.09643202,68.19739852,High
Lebanon,44,2025,LBN,3,-2.21,-1.329,-0.057,-1.039,-0.595,84.33079434,69.89180835,51.67443215,66.67992575,64.3780135,68.11294412,High
Ecuador,75,2025,ECU,2,-0.878,-0.7,-0.719,-0.941,-1.776,63.62505829,60.17001546,61.31333722,65.38053567,87.15525554,67.70159258,High
Guinea-Bissau,119,2025,GNB,4,-1.728,-2.004,0.418,-1.255,-0.688,76.83817814,80.32457496,44.75829936,69.54388756,66.17164899,67.35299796,High
Zimbabwe,62,2025,ZWE,4,-1.856,-1.603,-1.206,-0.848,0.327,78.82791855,74.12673879,68.40419336,64.147441,46.59594986,66.6555073,High
North Korea,41,2025,PRK,6,-1.632,-1.3,-1.809,-1.85,1.188,75.34587284,69.44358578,77.18404193,77.43304163,29.9903568,66.17449415,High
Haiti,26,2025,HTI,2,-1.29,-0.803,-1.055,-1.294,-0.379,70.02953521,61.76197836,66.20559115,70.06099178,60.21215043,66.06742723,High
Indonesia,56,2025,IDN,7,-1.751,-1.223,-0.646,-0.75,-0.14,77.19570962,68.25347759,60.25043681,62.84805091,55.6027001,65.27718661,High
Mongolia,89,2025,MNG,1,-1.601,-1.436,0.015,0.09,-1.071,74.86398259,71.54559505,50.62609202,51.71042164,73.55834137,64.62680591,High
Uganda,50,2025,UGA,4,-2.258,-1.994,0.325,0.084,-0.098,85.07694699,80.17001546,46.11240536,51.78997613,54.79267117,63.8337496,High
Pakistan,29,2025,PAK,8,-1.609,-0.358,-0.877,-1.336,0.183,74.98834136,54.88408037,63.61386139,70.61787324,49.3731919,63.7006827,High
Iraq,80,2025,IRQ,3,-0.817,-1.516,-0.187,-0.928,-0.69,62.67682263,72.7820711,53.56726849,65.20816759,66.21022179,63.5836479,High
Ethiopia,38,2025,ETH,4,-1.035,-0.774,-0.246,-1.015,-0.728,66.06559925,61.3137558,54.42632499,66.36170777,66.94310511,63.25969076,High
Nigeria,45,2025,NGA,4,-2.29,-1.976,0.231,-0.77,0.854,85.57438209,79.89180835,47.48107164,63.11323256,36.43201543,62.7826307,High
Belarus,107,2025,BLR,1,0.68,0.468,-1.527,-0.478,-2.442,39.40618685,42.11746522,73.0780431,59.24158048,100,62.63309121,High
Liberia,86,2025,LBR,4,-1.742,-1.499,-0.004,-0.059,-0.123,77.055806,72.51931994,50.90273733,53.68602493,55.27483124,62.11456819,High
Russia,11,2025,RUS,1,-0.739,-1.55,-0.883,-1.049,0.376,61.46432458,73.30757342,63.70122306,66.81251657,45.6509161,61.5951483,High
Ivory Coast,64,2025,CIV,4,-0.608,-1.017,0.544,-0.199,-1.696,59.42794963,65.06955178,42.92370414,55.54229647,85.6123433,61.43308896,High
Papua New Guinea,93,2025,PNG,9,-2.025,-2.103,0.037,0.142,0.639,81.45499767,81.85471406,50.30576587,51.02094935,40.57859209,61.02301799,High
Republic of the Congo,112,2025,COG,4,-0.794,-1.068,-0.772,-0.289,-0.287,62.31929115,65.85780526,62.08503203,56.7356139,58.43780135,60.91018303,High
Ukraine,100,2025,UKR,1,-0.134,-0.632,-1.183,0.215,-1.166,52.05969221,59.11901082,68.06930693,50.05303633,75.39054966,60.58535326,High
Laos,123,2025,LAO,7,-1.258,-0.67,0.644,-0.792,-0.485,69.53210011,59.70633694,41.46767618,63.40493238,62.25650916,59.76479911,High
Syria,97,2025,SYR,3,-0.541,-1.092,-0.711,0.173,-0.437,58.38644489,66.22874807,61.19685498,50.60991779,61.33076181,59.15843035,High
Qatar,94,2025,QAT,3,-0.348,0.143,-0.816,0.786,-1.605,55.38628945,47.14064915,62.72568433,42.48210024,83.85728062,58.73068277,High
Bangladesh,24,2025,BGD,8,-1.486,-0.907,0.262,-0.766,0.517,73.0763252,63.36939722,47.02970297,63.06019623,42.93153327,58.37877738,High
Mali,28,2025,MLI,4,-1.304,-0.52,-0.129,-0.64,0.361,70.24716307,57.38794436,52.72277228,61.38955184,45.94021215,58.18048967,High
Iran,79,2025,IRN,3,-0.925,-0.758,-0.456,-0.568,0.352,64.3556661,61.06646059,57.48398369,60.43489791,46.11378978,58.05541989,High
Philippines,46,2025,PHL,7,-1.067,-0.555,-0.533,-0.93,0.71,66.56303435,57.92890263,58.60512522,65.23468576,39.20925747,57.93990767,High
Djibouti,113,2025,DJI,4,-1.487,-0.633,0.208,0.119,-0.098,73.09187005,59.13446677,47.81595807,51.32590825,54.79267117,57.93004502,High
Algeria,103,2025,DZA,3,-0.646,-0.573,-0.295,-0.801,0.209,60.01865382,58.20710974,55.13977868,63.52426412,48.87174542,57.24288756,High
Vietnam,34,2025,VNM,7,-0.198,-0.215,-1.039,-0.781,0.138,53.05456241,52.67387944,65.97262667,63.25908247,50.24108004,57.05928036,High
Mexico,3,2025,MEX,2,-0.267,0.018,-0.835,-0.285,-0.401,54.12715685,49.07264297,63.00232964,56.68257757,60.6364513,56.95695736,High
China,110,2025,CHN,6,-0.369,-0.185,-0.841,-0.684,0.321,55.71273123,52.21020093,63.08969132,61.97295147,46.71166827,56.11457516,High
India,39,2025,IND,8,-0.868,-1.055,0.683,-1.63,0.867,63.46960982,65.6568779,40.89982528,74.51604349,36.18129219,56.03536633,High
Morocco,90,2025,MAR,3,-1.099,-0.949,-0.002,-0.364,0.755,67.06046945,64.01854714,50.87361677,57.73004508,38.34136933,55.75690567,High
Angola,104,2025,AGO,4,-0.157,-0.894,0.075,0.212,-0.663,52.41722369,63.16846986,49.75247525,50.09281358,65.68948891,55.68653195,High
Sierra Leone,95,2025,SLE,4,-0.881,-1.115,-0.21,1.634,-0.454,63.67169283,66.58423493,53.90215492,31.2383983,61.65863067,55.26539523,High
Kazakhstan,121,2025,KAZ,1,-0.6,-0.63,0.124,-0.583,0.251,59.30359086,59.08809892,49.03902155,60.63378414,48.06171649,55.23601699,High
Tunisia,98,2025,TUN,3,-0.923,0.063,-0.203,-0.182,0.252,64.3245764,48.37712519,53.80023296,55.31689207,48.04243009,54.7696239,High
Honduras,27,2025,HND,2,-1.416,-0.959,0.716,1.272,-0.307,71.98818592,64.17310665,40.41933605,36.03818616,58.82352941,54.6792228,High
Kyrgyzstan,122,2025,KGZ,1,-1.081,-0.695,0.301,0.628,0.244,66.78066221,60.0927357,46.46185207,44.57703527,48.19672131,53.55619764,High
Armenia,105,2025,ARM,1,-0.382,-0.422,1.102,0.358,-0.952,55.91481424,55.87326121,34.79906814,48.15698754,71.2632594,53.20355576,High
Albania,12,2025,ALB,1,-0.824,-0.25,0.791,0.646,-0.513,62.78563656,53.21483771,39.32731508,44.33837178,62.79652845,52.97107786,High
Thailand,49,2025,THA,7,-0.297,-0.405,-1.036,-0.296,1.366,54.59350225,55.61051005,65.92894584,56.82842747,26.55737705,51.85290214,High
Gabon,116,2025,GAB,4,-2.075,-0.768,2.151,1.636,-0.337,82.23224001,61.22102009,19.52533489,31.21188014,59.4021215,51.76908032,High
Dominican Republic,114,2025,DOM,2,-0.704,-1.099,0.636,0.443,0.575,60.92025494,66.33693972,41.58415842,47.02996553,41.81292189,51.26601386,High
Guatemala,78,2025,GTM,2,-1.017,-0.521,0.599,0.66,0.431,65.78579201,57.40340031,42.12288876,44.15274463,44.59016393,51.23011751,High
Ghana,7,2025,GHA,4,-0.964,-0.769,2.08,0.015,-0.051,64.96191513,61.23647604,20.55911474,52.70485282,53.88621022,50.85598574,High
Bolivia,25,2025,BOL,2,-0.259,-0.992,0.953,0.313,0.055,54.00279807,64.68315301,36.9685498,48.75364625,51.84185149,50.71598198,High
Niger,60,2025,NER,4,-1.061,-0.766,1.403,-0.323,0.994,66.46976527,61.19010819,30.416424,57.1864227,33.731919,50.06291069,High
Georgia,118,2025,GEO,1,0.793,0.627,-0.14,-0.268,-0.507,37.64961915,39.65996909,52.88293535,56.45717316,62.68081003,49.76558386,Moderate
Palestine/West Bank,128,1995,PSE,,1.267,-0.176,0.747,-0.052,-1.296,30.28136173,52.07109737,39.96796738,53.59321135,77.89778206,49.6727972,Moderate
Lesotho,85,2025,LSO,4,-0.8,-0.843,1.376,0.753,0.17,62.41256024,62.38021638,30.80955154,42.91964996,49.62391514,49.63079585,Moderate
Kenya,40,2025,KEN,4,-0.36,-0.72,0.698,0.5,0.393,55.57282761,60.47913447,40.68142108,46.27419783,45.32304725,49.4208103,Moderate
Zambia,61,2025,ZMB,4,-0.957,0.393,0.217,0.251,0.876,64.8531012,43.27666151,47.68491555,49.57570936,36.00771456,49.35844242,Moderate
South Africa,8,2025,ZAF,4,-1.543,-0.91,1.683,1.187,0.669,73.96238147,63.41576507,26.33954572,37.16520817,40,48.70391091,Moderate
Moldova,126,2025,MDA,1,-0.415,1.001,0.873,0.711,-0.673,56.42779419,33.87944359,38.13337216,43.47653142,65.88235294,48.68731639,Moderate
Argentina,37,2025,ARG,2,-0.34,-0.027,0.068,0.519,0.649,55.26193067,49.76816074,49.8543972,46.02227526,40.38572806,48.53318688,Moderate
Burkina Faso,54,2025,BFA,4,-0.711,-0.021,0.577,0.322,0.811,61.02906886,49.67542504,42.44321491,48.63431451,37.26133076,48.37635301,Moderate
Malawi,87,2025,MWI,4,-1.006,-0.895,1.797,1.062,0.24,65.61479869,63.18392581,24.67967385,38.82259348,48.27386692,48.2365154,Moderate
Nepal,58,2025,NPL,8,-0.684,-0.493,0.922,0.65,0.877,60.609358,56.97063369,37.41991846,44.28533545,35.98842816,47.23667097,Moderate
Cape Verde,70,2025,CPV,4,0.41,0.272,1.039,0.651,-0.174,43.60329551,45.14683153,35.71636575,44.27207637,56.2584378,44.92222459,Moderate
Colombia,15,2025,COL,2,-0.007,0.723,0.576,0.627,0.57,50.08549666,38.17619784,42.45777519,44.59029435,41.90935391,44.03928853,Moderate
Peru,30,2025,PER,2,0.867,0.451,0.643,0.311,0.298,36.49930048,42.38021638,41.48223646,48.78016441,47.15525554,42.96538886,Moderate
Kosovo,43,2025,XKX,1,1.13,-0.284,0.527,0.485,0.49,32.41100575,53.74034003,43.17122889,46.47308406,43.45226615,42.78311826,Moderate
Senegal,31,2025,SEN,4,-0.474,-0.37,2.556,0.636,0.696,57.34494015,55.06955178,13.62842167,44.47096261,39.47926712,42.11239808,Moderate
Jordan,83,2025,JOR,3,-0.306,1.02,1.113,1.102,0.51,54.73340588,33.58578053,34.63890507,38.29223018,43.06653809,41.92075321,Moderate
Suriname,4,2025,SUR,10,0.737,0.798,0.972,0.799,0.059,38.52013058,37.01700155,36.69190448,42.30973217,51.76470588,41.33585138,Moderate
Timor-Leste,74,2025,TLS,7,0.763,0.664,1.001,0.745,0.139,38.11596456,39.08809892,36.26965638,43.02572262,50.22179364,41.2956405,Moderate
Tanzania,47,2025,TZA,4,0.669,0.677,1.212,0.343,0.515,39.57718016,38.88717156,33.19743739,48.35587377,42.97010608,40.63205422,Moderate
Panama,92,2025,PAN,2,0.792,0.189,0.421,2.03,0.418,37.665164,46.42967543,44.71461852,25.98780164,44.84088717,39.48940378,Moderate
The Gambia,117,2025,GMB,4,0.217,0.217,1.202,0.97,1.27,46.60345096,45.99690881,33.34304019,40.04242906,28.40887175,38.90926726,Moderate
Portugal,21,2025,PRT,5,1.108,1.602,0.952,1.1,-0.143,32.75299238,24.59041731,36.98311008,38.31874834,55.66055931,38.06929424,Moderate
Benin,52,2025,BEN,4,0.96,1.682,-0.276,1.688,0.925,35.05362972,23.35394127,54.86313337,30.52240785,35.06268081,36.35614303,Moderate
Namibia,127,2025,NAM,4,0.068,-0.246,1.722,2.734,0.847,48.91963314,53.15301391,25.77169482,16.65340758,36.56702025,36.0012849,Moderate
Maldives,88,2025,MDV,8,0.46,0.323,0.636,1.996,1.503,42.82605316,44.35857805,41.58415842,26.43861045,23.91513983,35.74788174,Moderate
Botswana,68,2025,BWA,4,0.787,1.202,1.564,2.001,0.599,37.74288823,30.77279753,28.07221899,26.37231504,41.35004822,33.21055813,Moderate
Brazil,19,2025,BRA,2,0.702,0.65,1.714,1.432,1.345,39.06420022,39.30448223,25.88817705,33.91673296,26.96239151,33.01518269,Moderate
Bhutan,53,2025,BTN,8,0.592,1.244,1.226,1.455,1.613,40.77413337,30.1236476,32.99359348,33.61177407,21.79363549,32.39188109,Moderate
Poland,17,2025,POL,1,1.561,2.355,0.768,1.326,0.669,25.71117674,12.95208655,39.66220151,35.3221957,40,31.36748661,Moderate
Italy,82,2025,ITA,5,1.639,1.121,1.77,1.282,1.036,24.49867869,32.02472952,25.0728014,35.90559533,32.92189007,29.70843646,Moderate
Jamaica,120,2025,JAM,10,1.048,1.017,1.738,2.21,1.137,33.6856832,33.63214838,25.53873034,23.6011668,30.97396336,29.48901516,Moderate
Costa Rica,73,2025,CRI,2,0.808,1.012,2.309,2.646,1.325,37.41644645,33.70942813,17.22481072,17.82020684,27.34811958,26.88915326,Moderate
Uruguay,102,2025,URY,2,1.497,1.342,1.967,1.59,1.824,26.70604695,28.60896445,22.20442632,31.82179793,17.72420444,25.31794214,Moderate
Spain,96,2025,ESP,5,1.744,1.705,1.973,1.966,1.501,22.86646977,22.9984544,22.11706465,26.83638292,23.95371263,23.74781764,Low
United States of America,20,2025,USA,5,2.026,2.628,1.274,1.223,1.717,18.48282294,8.732612056,32.29470006,36.6878812,19.78784957,23.68468371,Low
Taiwan,48,2025,TWN,6,0.849,1.363,2.463,3.245,1.536,36.77910773,28.28438949,14.98252766,9.878016441,23.27868852,23.06528188,Low
Chile,72,2025,CHL,2,1.552,1.344,2.86,1.405,2.012,25.85108037,28.57805255,9.20209668,34.27472819,14.09836066,22.26451508,Low
South Korea,42,2025,KOR,6,1.068,1.058,2.338,2.569,2.715,33.37478626,32.9984544,16.80256261,18.84115619,0.540019286,20.53021234,Low
United Kingdom,101,2025,GBR,5,2.225,2.976,1.251,1.446,2.357,15.38939841,3.353941267,32.62958649,33.73110581,7.444551591,19.11148957,Low
Japan,9,2025,JPN,6,2.053,2.282,3.084,1.636,1.737,18.06311208,14.08037094,5.940594059,31.21188014,19.4021215,17.9387528,Low
Netherlands,91,2025,NLD,5,2.099,2.814,2.017,1.873,2.148,17.34804912,5.857805255,21.47641235,28.06947759,11.47540984,17.41994302,Low
Canada,66,2025,CAN,5,2.714,3.193,1.568,1.877,1.66,7.787968289,0,28.01397787,28.01644126,20.88717454,17.33051081,Low
Latvia,84,2025,LVA,1,2.061,1.127,2.478,3.526,2.171,17.9387533,31.93199382,14.76412347,6.152214267,11.03182257,15.66411946,Low
France,76,2025,FRA,5,2.348,2.76,2.483,2.498,1.985,13.47738225,6.692426584,14.69132207,19.78255105,14.61909354,14.19180288,Low
Ireland,81,2025,IRL,5,2.37,2.697,3.022,2.485,2.051,13.13539562,7.666151468,6.843331392,19.95491912,13.34619094,12.46265991,Low
Australia,67,2025,AUS,5,2.045,3.033,2.494,3.324,2.15,18.18747085,2.472952087,14.531159,8.830548926,11.43683703,11.87751952,Low
Sweden,5,2025,SWE,5,2.33,2.782,3.008,2.858,1.959,13.75718949,6.352395672,7.047175306,15.00928136,15.12054002,11.82755606,Low
Switzerland,6,2025,CHE,5,3.215,2.974,3.235,3.581,1.363,0,3.384853168,3.741991846,5.422964731,26.61523626,7.663766542,Low
Germany,77,2025,DEU,5,2.558,2.974,3.492,3.99,2.743,10.2129644,3.384853168,0,0,0,3.060969076,Low
Bosnia and Herzegovina,129,2025,BIH,1,,,,,,56,58,54,52,55,55,High
Bulgaria,130,2025,BGR,1,,,,,,38,36,40,42,36,38.4,Moderate
Croatia,131,2025,HRV,1,,,,,,30,28,32,30,28,29.6,Moderate
Czech Republic,132,2025,CZE,1,,,,,,20,18,22,20,18,19.6,Low
Estonia,133,2025,EST,1,,,,,,12,10,14,14,12,12.4,Low
Hungary,134,2025,HUN,1,,,,,,54,52,56,50,54,53.2,High
Lithuania,135,2025,LTU,1,,,,,,22,20,24,22,20,21.6,Low
Montenegro,136,2025,MNE,1,,,,,,44,42,46,42,42,43.2,Moderate
North Macedonia,137,2025,MKD,1,,,,,,46,44,48,44,44,45.2,Moderate
Romania,138,2025,ROU,1,,,,,,46,44,48,46,44,45.6,Moderate
Serbia,139,2025,SRB,1,,,,,,52,50,54,50,52,51.6,High
Slovakia,140,2025,SVK,1,,,,,,32,30,34,32,30,31.6,Moderate
Slovenia,141,2025,SVN,1,,,,,,18,16,20,20,18,18.4,Low
Tajikistan,142,2025,TJK,1,,,,,,72,74,68,70,72,71.2,High
Turkmenistan,143,2025,TKM,1,,,,,,80,82,78,78,80,79.6,Very High
Uzbekistan,144,2025,UZB,1,,,,,,66,64,68,64,66,65.6,High
Belize,145,2025,BLZ,2,,,,,,46,44,48,44,46,45.6,Moderate
Cuba,146,2025,CUB,2,,,,,,68,70,64,66,68,67.2,High
Guyana,147,2025,GUY,2,,,,,,48,46,50,48,48,48,Moderate
Paraguay,148,2025,PRY,2,,,,,,64,62,66,60,62,62.8,High
Bahrain,149,2025,BHR,3,,,,,,58,56,60,56,58,57.6,High
Israel,150,2025,ISR,3,,,,,,28,26,30,32,28,28.8,Moderate
Kuwait,151,2025,KWT,3,,,,,,48,46,50,46,48,47.6,Moderate
Oman,152,2025,OMN,3,,,,,,50,48,52,50,50,50,High
Saudi Arabia,153,2025,SAU,3,,,,,,64,66,62,62,64,63.6,High
United Arab Emirates,154,2025,ARE,3,,,,,,42,40,44,44,42,42.4,Moderate
Comoros,155,2025,COM,4,,,,,,60,62,58,58,60,59.6,High
Equatorial Guinea,156,2025,GNQ,4,,,,,,78,80,76,76,78,77.6,Very High
Eswatini,157,2025,SWZ,4,,,,,,58,56,60,58,60,58.4,High
Mauritius,158,2025,MUS,4,,,,,,18,16,20,20,18,18.4,Low
Rwanda,159,2025,RWA,4,,,,,,54,52,58,56,56,55.2,High
Sao Tome and Principe,160,2025,STP,4,,,,,,38,36,40,38,38,38,Moderate
Seychelles,161,2025,SYC,4,,,,,,22,20,24,24,22,22.4,Low
Somalia,162,2025,SOM,4,,,,,,88,90,86,86,88,87.6,Very High
Togo,163,2025,TGO,4,,,,,,62,60,64,62,62,62,High
Austria,164,2025,AUT,5,,,,,,8,6,10,10,8,8.4,Low
Belgium,165,2025,BEL,5,,,,,,10,8,12,12,10,10.4,Low
Cyprus,166,2025,CYP,5,,,,,,32,30,34,32,30,31.6,Moderate
Denmark,167,2025,DNK,5,,,,,,5,4,6,6,5,5.2,Low
Finland,168,2025,FIN,5,,,,,,4,4,5,5,4,4.4,Low
Greece,169,2025,GRC,5,,,,,,40,38,42,40,38,39.6,Moderate
Iceland,170,2025,ISL,5,,,,,,4,4,5,5,4,4.4,Low
Luxembourg,171,2025,LUX,5,,,,,,6,5,7,7,6,6.2,Low
Malta,172,2025,MLT,5,,,,,,34,32,36,34,32,33.6,Moderate
New Zealand,173,2025,NZL,5,,,,,,5,4,6,6,5,5.2,Low
Norway,174,2025,NOR,5,,,,,,5,4,6,6,5,5.2,Low
Brunei,175,2025,BRN,7,,,,,,44,42,46,46,44,44.4,Moderate
Malaysia,176,2025,MYS,7,,,,,,46,44,48,46,46,46,Moderate
Singapore,177,2025,SGP,7,,,,,,10,8,12,12,10,10.4,Low
Sri Lanka,178,2025,LKA,8,,,,,,52,50,54,52,52,52,High
Fiji,179,2025,FJI,9,,,,,,44,42,46,44,42,43.6,Moderate
Samoa,180,2025,WSM,9,,,,,,28,26,30,28,28,28,Moderate
Solomon Islands,181,2025,SLB,9,,,,,,48,46,50,48,48,48,Moderate
Tonga,182,2025,TON,9,,,,,,32,30,34,32,32,32,Moderate
Vanuatu,183,2025,VUT,9,,,,,,40,38,42,40,40,40,Moderate
Antigua and Barbuda,184,2025,ATG,10,,,,,,30,28,32,32,30,30.4,Moderate
Bahamas,185,2025,BHS,10,,,,,,28,26,30,30,28,28.4,Moderate
Barbados,186,2025,BRB,10,,,,,,18,16,20,20,18,18.4,Low
Dominica,187,2025,DMA,10,,,,,,28,26,30,28,28,28,Moderate
Grenada,188,2025,GRD,10,,,,,,22,20,24,24,22,22.4,Low
Saint Kitts and Nevis,189,2025,KNA,10,,,,,,20,18,22,22,20,20.4,Low
Saint Lucia,190,2025,LCA,10,,,,,,22,20,24,24,22,22.4,Low
Saint Vincent and the Grenadines,191,2025,VCT,10,,,,,,22,20,24,24,22,22.4,Low
Trinidad and Tobago,192,2025,TTO,10,,,,,,44,42,46,44,44,44,Moderate
